LocalRep,GlobalIdx,Prob,spring_day,spring_night,summer_day,summer_night,fall_day,fall_night,winter_day,winter_night
90,762,0.0050297210791037,21967.5156,18191.3838,22686.340199999995,37980.638399999996,23101.990199999997,17677.9464,27149.8092,23580.227399999996
91,3078,0.0045724737082761,17244.0792,18191.3838,22686.340199999995,18437.5302,20539.3422,17677.9464,31485.513,23580.227399999996
92,1130,0.0054869684499314,21967.5156,18191.3838,41762.778,36667.164,34847.5962,25538.1684,32756.2698,35063.7342
93,5733,0.0053345526596555,24878.085599999995,18191.3838,29502.7554,36667.164,34847.5962,25855.469999999998,31485.513,23580.227399999996
94,3783,0.0042676421277244,17244.0792,34718.6682,22686.340199999995,36667.164,34847.5962,17677.9464,32756.2698,23580.227399999996
95,5966,0.0045724737082761,24878.085599999995,34718.6682,22686.340199999995,36667.164,23101.990199999997,25538.1684,27149.8092,35063.7342
96,2237,0.0045724737082761,17244.0792,21732.3342,22686.340199999995,37980.638399999996,23101.990199999997,25538.1684,32756.2698,35063.7342
97,4491,0.0054869684499314,24878.085599999995,21732.3342,22686.340199999995,36667.164,23101.990199999997,25855.469999999998,31485.513,23580.227399999996
98,983,0.0045724737082761,21967.5156,18191.3838,41762.778,37980.638399999996,20539.3422,25855.469999999998,31485.513,35063.7342
99,4974,0.0045724737082761,24878.085599999995,21732.3342,29502.7554,36667.164,23101.990199999997,17677.9464,27149.8092,23580.227399999996
100,5523,0.0050297210791037,24878.085599999995,18191.3838,41762.778,18437.5302,20539.3422,25855.469999999998,27149.8092,23580.227399999996
101,2029,0.004724889498552,21967.5156,34718.6682,29502.7554,36667.164,20539.3422,17677.9464,32756.2698,21792.8304
102,2324,0.0045724737082761,17244.0792,21732.3342,22686.340199999995,36667.164,34847.5962,17677.9464,31485.513,35063.7342
103,442,0.0050297210791037,21967.5156,21732.3342,41762.778,18437.5302,23101.990199999997,25855.469999999998,31485.513,21792.8304
104,1195,0.0042676421277244,21967.5156,18191.3838,41762.778,18437.5302,34847.5962,17677.9464,27149.8092,21792.8304
105,2310,0.004724889498552,17244.0792,21732.3342,22686.340199999995,36667.164,23101.990199999997,25855.469999999998,27149.8092,23580.227399999996
106,966,0.004724889498552,21967.5156,18191.3838,22686.340199999995,18437.5302,34847.5962,25538.1684,32756.2698,23580.227399999996
107,3611,0.004724889498552,17244.0792,18191.3838,29502.7554,18437.5302,23101.990199999997,25538.1684,31485.513,35063.7342
108,529,0.0044200579180003,21967.5156,21732.3342,29502.7554,37980.638399999996,23101.990199999997,25855.469999999998,27149.8092,21792.8304
