LocalRep,GlobalIdx,Prob,spring_day,spring_night,summer_day,summer_night,fall_day,fall_night,winter_day,winter_night
132,5117,0.0041152263374485,107.9886923076923,3.345269230769231,48.92884615384616,0.0,84.17411538461538,0.0,11.901153846153846,0.0
133,5726,0.0038103947568968,107.9886923076923,3.345269230769231,95.76473076923077,0.0,19.18019230769231,0.0,26.293384615384618,0.0
134,5920,0.0033531473860691,107.9886923076923,0.0,48.92884615384616,0.0,84.17411538461538,0.0,110.0,0.0
135,6144,0.0036579789666209,107.9886923076923,0.0,28.73919230769231,0.0,19.18019230769231,0.0,110.0,0.0
136,246,0.003505563176345,45.562,1.633923076923077,28.73919230769231,0.0,84.17411538461538,0.0,11.901153846153846,0.0
137,428,0.003505563176345,45.562,1.633923076923077,28.73919230769231,12.813307692307692,84.17411538461538,0.0,11.901153846153846,0.0
138,2490,0.003505563176345,13.416192307692308,1.633923076923077,28.73919230769231,0.0,19.18019230769231,0.0,110.0,0.0
139,3212,0.0038103947568968,13.416192307692308,3.345269230769231,28.73919230769231,0.0,37.07507692307693,0.0,110.0,0.0
140,5731,0.0036579789666209,107.9886923076923,3.345269230769231,95.76473076923077,0.0,19.18019230769231,0.0,110.0,0.0
141,1764,0.0036579789666209,45.562,0.0,28.73919230769231,0.0,19.18019230769231,0.0,26.293384615384618,0.0
142,2093,0.0036579789666209,45.562,0.0,95.76473076923077,0.0,19.18019230769231,0.0,11.901153846153846,0.0
143,4989,0.0036579789666209,107.9886923076923,1.633923076923077,95.76473076923077,0.0,37.07507692307693,0.0,11.901153846153846,0.0
144,1161,0.0033531473860691,45.562,3.345269230769231,28.73919230769231,12.813307692307692,37.07507692307693,0.0,26.293384615384618,0.0
145,1717,0.0036579789666209,45.562,0.0,28.73919230769231,0.0,84.17411538461538,0.0,110.0,0.0
146,1550,0.0033531473860691,45.562,0.0,48.92884615384616,0.0,84.17411538461538,0.0,26.293384615384618,0.0
147,5370,0.0038103947568968,107.9886923076923,3.345269230769231,28.73919230769231,0.0,84.17411538461538,0.0,110.0,0.0
148,855,0.003505563176345,45.562,3.345269230769231,48.92884615384616,0.0,37.07507692307693,0.0,26.293384615384618,0.0
149,3431,0.003505563176345,13.416192307692308,3.345269230769231,95.76473076923077,0.0,37.07507692307693,0.0,26.293384615384618,0.0
150,3858,0.0032007315957933,13.416192307692308,0.0,48.92884615384616,12.813307692307692,37.07507692307693,0.0,110.0,0.0
151,5968,0.0033531473860691,107.9886923076923,0.0,48.92884615384616,0.0,19.18019230769231,0.0,26.293384615384618,0.0
152,808,0.003505563176345,45.562,3.345269230769231,48.92884615384616,0.0,19.18019230769231,0.0,110.0,0.0
153,4265,0.0032007315957933,13.416192307692308,0.0,95.76473076923077,0.0,37.07507692307693,0.0,110.0,0.0
154,4233,0.003505563176345,13.416192307692308,0.0,95.76473076923077,0.0,84.17411538461538,0.0,11.901153846153846,0.0
155,262,0.0030483158055174,45.562,1.633923076923077,28.73919230769231,0.0,84.17411538461538,0.0,26.293384615384618,0.0
156,2423,0.0028959000152415,13.416192307692308,1.633923076923077,48.92884615384616,12.813307692307692,19.18019230769231,0.0,26.293384615384618,0.0
157,4533,0.0032007315957933,107.9886923076923,1.633923076923077,48.92884615384616,0.0,19.18019230769231,0.0,110.0,0.0
158,3628,0.003505563176345,13.416192307692308,3.345269230769231,95.76473076923077,12.813307692307692,19.18019230769231,0.0,26.293384615384618,0.0
159,5217,0.003505563176345,107.9886923076923,3.345269230769231,48.92884615384616,0.0,37.07507692307693,0.0,110.0,0.0
160,4718,0.0032007315957933,107.9886923076923,1.633923076923077,28.73919230769231,0.0,84.17411538461538,0.0,26.293384615384618,0.0
161,6011,0.0028959000152415,107.9886923076923,0.0,48.92884615384616,12.813307692307692,84.17411538461538,0.0,110.0,0.0
162,1250,0.0033531473860691,45.562,3.345269230769231,95.76473076923077,0.0,37.07507692307693,0.0,110.0,0.0
163,1139,0.0030483158055174,45.562,3.345269230769231,28.73919230769231,12.813307692307692,84.17411538461538,0.0,11.901153846153846,0.0
164,5427,0.0028959000152415,107.9886923076923,3.345269230769231,28.73919230769231,0.0,84.17411538461538,0.0,26.293384615384618,0.0
