time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int,G(i)_POA
20180108:0510,0,0,0,0,0.41,0.97,0,0
20180108:0610,147.87,88.59,1.97,8.76,0.06,0.97,0,238.43
20180108:0710,207.72,165.03,4.07,17.02,0.85,0.41,0,376.82
20180108:0810,300.79,224.37,5.99,23.37,3.93,0.48,0,531.15
20180108:0910,196.85,255.56,6.09,27.2,5.78,0.62,0,458.5
20180108:1010,89.03,238.43,5.21,28.03,6.89,0.62,0,332.67
20180108:1110,54.42,205.13,4.36,25.74,7.56,0.76,0,263.91
20180108:1210,35.6,155.6,3.26,20.65,7.73,1.03,0,194.46
20180108:1310,62.94,110.66,2.37,13.32,7.47,1.24,0,175.97
20180108:1410,5,18.64,0.38,4.37,6.32,1.17,0,24.02
20180108:1510,0,0,0,0,4.95,0.34,0,0
20180108:1610,0,0,0,0,3.97,0.76,0,0
20180108:1710,0,0,0,0,2.96,1.03,0,0
20180108:1810,0,0,0,0,0.7,1.45,0,0
20180108:1910,0,0,0,0,-2.36,1.72,0,0
20180108:2010,0,0,0,0,-2.47,1.59,0,0
20180108:2110,0,0,0,0,-2.56,1.59,0,0
20180108:2210,0,0,0,0,-2.6,1.52,0,0
20180108:2310,0,0,0,0,-2.63,1.45,0,0
20180109:0010,0,0,0,0,-2.19,1.24,0,0
20180109:0110,0,0,0,0,-2.11,1.31,0,0
20180109:0210,0,0,0,0,-2.24,1.45,0,0
20180109:0310,0,0,0,0,-2.37,1.45,0,0
20180109:0410,0,0,0,0,-2.01,1.38,0,0
20180109:0510,0,0,0,0,-1.46,1.24,0,0
20180109:0610,0,22.73,0.45,8.8,-0.84,1.1,0,23.18
20180109:0710,0,0,0,0,0.6,0.55,0,0
20180109:0810,17.99,157.91,3.24,23.46,2.96,0.48,0,179.14
20180109:0910,3.81,158.79,3.18,27.32,4.83,0.69,0,165.78
20180109:1010,37.76,209.32,4.38,28.17,6,1.17,0,251.46
20180109:1110,27.1,185.27,3.83,25.9,6.69,1.38,0,216.2
20180109:1210,85.41,179.01,3.92,20.81,6.9,1.45,0,268.34
20180109:1310,52.41,108.08,2.3,13.49,6.62,1.45,0,162.79
20180109:1410,4.84,21.41,0.43,4.53,5.67,1.03,0,26.68
20180109:1510,0,0,0,0,4.13,0.69,0,0
20180109:1610,0,0,0,0,3.4,0.41,0,0
20180109:1710,0,0,0,0,2.68,0.41,0,0
20180109:1810,0,0,0,0,2.22,0,0,0
20180109:1910,0,0,0,0,-1.74,1.17,0,0
20180109:2010,0,0,0,0,-1.29,1.24,0,0
20180109:2110,0,0,0,0,-1.95,1.45,0,0
20180109:2210,0,0,0,0,-2.66,1.59,0,0
20180109:2310,0,0,0,0,-2.56,1.38,0,0
20180110:0010,0,0,0,0,-2.45,1.38,0,0
20180110:0110,0,0,0,0,-3.34,1.72,0,0
20180110:0210,0,0,0,0,-3.71,1.72,0,0
20180110:0310,0,0,0,0,-3.92,1.72,0,0
20180110:0410,0,0,0,0,-3.29,1.66,0,0
20180110:0510,0,0,0,0,-2.64,1.79,0,0
20180110:0610,0,35.45,0.71,8.85,-1.82,1.52,0,36.16
20180110:0710,0,0,0,0,-0.67,1.45,0,0
20180110:0810,3.98,133.35,2.68,23.56,1.01,1.66,0,140.01
20180110:0910,1.9,143.9,2.88,27.44,3.06,2.07,0,148.68
20180110:1010,28.22,201.78,4.18,28.32,4.78,2.21,0,234.18
20180110:1110,3.86,146.05,2.93,26.06,5.79,1.86,0,152.84
20180110:1210,14.5,136.3,2.79,20.99,6.13,1.79,0,153.59
20180110:1310,0,45.45,0.9,13.66,6.03,1.93,0,46.35
20180110:1410,4.69,21.39,0.43,4.7,5.26,1.66,0,26.51
20180110:1510,0,0,0,0,3.79,1.86,0,0
20180110:1610,0,0,0,0,2.48,1.79,0,0
20180110:1710,0,0,0,0,1.5,1.66,0,0
20180110:1810,0,0,0,0,0.73,1.52,0,0
20180110:1910,0,0,0,0,-0.1,1.17,0,0
20180110:2010,0,0,0,0,-0.46,1.38,0,0
20180110:2110,0,0,0,0,-1.11,1.72,0,0
20180110:2210,0,0,0,0,-1.3,2.07,0,0
20180110:2310,0,0,0,0,-1.09,2.21,0,0
20180111:0010,0,0,0,0,-1.5,2.14,0,0
20180111:0110,0,0,0,0,-1.42,2.07,0,0
20180111:0210,0,0,0,0,-1.04,2,0,0
20180111:0310,0,0,0,0,-0.9,2,0,0
20180111:0410,0,0,0,0,-0.79,2,0,0
20180111:0510,0,0,0,0,-0.86,1.93,0,0
20180111:0610,0,31.82,0.63,8.91,-0.63,1.72,0,32.45
20180111:0710,46.79,135.62,2.88,17.24,1.82,1.38,0,185.29
20180111:0810,43.64,181.74,3.83,23.67,5.14,1.59,0,229.21
20180111:0910,54.87,216.79,4.61,27.58,7.52,2.14,0,276.27
20180111:1010,627.98,205.18,8.63,28.48,8.97,2.97,0,841.79
20180111:1110,0,97.27,1.94,26.24,9.53,3.1,0,99.21
20180111:1210,0,100.9,2.01,21.16,9.95,3.03,0,102.91
20180111:1310,0,61.81,1.23,13.84,9.6,2.83,0,63.04
20180111:1410,4.55,22.31,0.45,4.87,7.98,1.86,0,27.31
20180111:1510,0,0,0,0,7.1,0.41,0,0
20180111:1610,0,0,0,0,5.5,0.97,0,0
20180111:1710,0,0,0,0,3.22,1.59,0,0
20180111:1810,0,0,0,0,1.77,1.93,0,0
20180111:1910,0,0,0,0,1.71,1.93,0,0
20180111:2010,0,0,0,0,1.82,2,0,0
20180111:2110,0,0,0,0,1.57,2,0,0
20180111:2210,0,0,0,0,1.03,2,0,0
20180111:2310,0,0,0,0,0.57,2,0,0
20180112:0010,0,0,0,0,0.27,1.93,0,0
20180112:0110,0,0,0,0,0.13,1.93,0,0
20180112:0210,0,0,0,0,0.22,2,0,0
20180112:0310,0,0,0,0,0.38,2,0,0
20180112:0410,0,0,0,0,0.59,1.86,0,0
20180112:0510,0,0,0,0,0.73,1.79,0,0
20180112:0610,0,32.72,0.65,8.97,1.44,1.72,0,33.37
20180112:0710,86.47,148.27,3.27,17.32,3.83,1.66,0,238.01
20180112:0810,171.89,218.86,5.19,23.78,5.87,2.14,0,395.94
20180112:0910,5.66,159.98,3.22,27.72,6.93,2.69,0,168.86
20180112:1010,0,57.27,1.14,28.64,7.9,2.9,0,58.41
20180112:1110,0,75.45,1.5,26.41,8.53,3.24,0,76.95
20180112:1210,2.05,111.21,2.22,21.35,6.89,3.45,0,115.48
20180112:1310,0,17.27,0.34,14.02,6.65,3.03,0,17.61
20180112:1410,13.25,29.04,0.6,5.05,5.98,1.79,0,42.89
20180112:1510,0,0,0,0,4.97,1.03,0,0
20180112:1610,0,0,0,0,3.94,1.38,0,0
20180112:1710,0,0,0,0,2.88,1.45,0,0
20180112:1810,0,0,0,0,2.36,1.45,0,0
20180112:1910,0,0,0,0,2.36,1.59,0,0
20180112:2010,0,0,0,0,2.26,1.52,0,0
20180112:2110,0,0,0,0,1.72,1.59,0,0
20180112:2210,0,0,0,0,1.82,1.45,0,0
20180112:2310,0,0,0,0,1.66,1.38,0,0
20180113:0010,0,0,0,0,2.18,1.1,0,0
20180113:0110,0,0,0,0,3.29,0.83,0,0
20180113:0210,0,0,0,0,3.11,0.48,0,0
20180113:0310,0,0,0,0,2.93,0.62,0,0
20180113:0410,0,0,0,0,2.33,0.97,0,0
20180113:0510,0,0,0,0,-0.34,1.17,0,0
20180113:0610,263.62,82.34,2.41,9.04,0.68,0.97,0,348.37
20180113:0710,74.99,147.64,3.22,17.42,3.58,0.76,0,225.85
20180113:0810,0,113.63,2.26,23.9,5.59,0.9,0,115.89
20180113:0910,31.92,201.63,4.2,27.87,6.69,1.24,0,237.75
20180113:1010,18.6,194.29,3.98,28.81,7.69,2,0,216.87
20180113:1110,209.39,246.92,6.02,26.6,8.21,2.41,0,462.33
20180113:1210,4.07,120.64,2.42,21.53,8.15,2.48,0,127.13
20180113:1310,199.68,134.02,3.36,14.21,7.56,2.21,0,337.06
20180113:1410,0,16.36,0.33,5.23,6.86,1.52,0,16.69
20180113:1510,0,0,0,0,5.41,1.66,0,0
20180113:1610,0,0,0,0,4.06,1.79,0,0
20180113:1710,0,0,0,0,3.11,1.93,0,0
20180113:1810,0,0,0,0,2.89,1.93,0,0
20180113:1910,0,0,0,0,3.22,2.62,0,0
20180113:2010,0,0,0,0,3.06,3.03,0,0
20180113:2110,0,0,0,0,2.51,2.41,0,0
20180113:2210,0,0,0,0,1.98,1.72,0,0
20180113:2310,0,0,0,0,1.72,1.66,0,0
20180114:0010,0,0,0,0,1.7,1.52,0,0
20180114:0110,0,0,0,0,1.68,1.52,0,0
20180114:0210,0,0,0,0,1.54,1.52,0,0
20180114:0310,0,0,0,0,1.28,1.52,0,0
20180114:0410,0,0,0,0,0.95,1.59,0,0
20180114:0510,0,0,0,0,0.79,1.59,0,0
20180114:0610,15.01,56.59,1.16,9.12,0.78,1.59,0,72.76
20180114:0710,0,24.54,0.49,17.52,1.2,2.07,0,25.03
20180114:0810,0,63.63,1.27,24.03,1.37,1.93,0,64.9
20180114:0910,0,92.72,1.84,28.02,1.93,1.93,0,94.56
20180114:1010,0,44.54,0.89,28.99,1.99,2.14,0,45.43
