DateTime,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),Energy_from_ActivePower (kWh)
2018-05-25 20:00:00,2682.69702148437,10.4299201965332,3031.7120505486,31.543830871582,2682.69702148437
2018-05-25 21:00:00,2144.751953125,9.26301288604736,2314.73479334492,43.651069641113196,2144.751953125
2018-05-25 22:00:00,1221.61499023437,7.62546777725219,1323.37171020725,42.8363609313964,1221.61499023437
2018-05-25 23:00:00,1718.04602050781,8.68616390228271,1943.97244222978,47.5429611206054,1718.04602050781
2018-05-26 00:00:00,1813.82299804687,8.84839820861816,2046.75587064731,45.8607711791992,1813.82299804687
2018-05-26 01:00:00,2104.69799804687,9.32904529571533,2357.89937751301,43.1064910888671,2104.69799804687
2018-05-26 02:00:00,2712.337890625,11.1530504226684,3323.8445104127,44.84986114501951,2712.337890625
2018-05-26 03:00:00,1767.13696289062,8.69840812683105,1951.67800413547,41.5934295654296,1767.13696289062
2018-05-26 04:00:00,1362.3740234375,7.7589201927185,1395.11157674749,44.25825881958,1362.3740234375
2018-05-26 05:00:00,1681.27600097656,8.65999603271484,1927.53476998263,48.5151214599609,1681.27600097656
2018-05-26 06:00:00,1271.05603027343,7.68699216842651,1356.17135690526,45.945629119873004,1271.05603027343
2018-05-26 07:00:00,1603.96105957031,8.18008136749267,1634.74617759744,31.0090904235839,1603.96105957031
2018-05-26 08:00:00,1801.65405273437,8.72454738616943,1968.15762094087,33.9500694274902,1801.65405273437
2018-05-26 09:00:00,2092.873046875,9.11214447021484,2216.5226551755,30.4044799804687,2092.873046875
2018-05-26 10:00:00,2088.55004882812,9.48309612274169,2458.88984080873,35.5976295471191,2088.55004882812
2018-05-26 11:00:00,2785.93188476562,10.5017404556274,3066.61744408545,55.387279510498,2785.93188476562
2018-05-26 12:00:00,3477.23095703125,12.5524702072143,3582.84444362295,50.2687606811523,3477.23095703125
2018-05-26 13:00:00,3533.14990234375,13.1934795379638,3600.0,39.9397315979003,3533.14990234375
2018-05-26 14:00:00,3369.42407226562,12.2512502670288,3555.72563320109,47.4206390380859,3369.42407226562
2018-05-26 15:00:00,3405.21997070312,12.0012598037719,3522.1457636321,38.6040611267089,3405.21997070312
2018-05-26 16:00:00,3565.25,13.2958803176879,3600.0,41.5762901306152,3565.25
2018-05-26 17:00:00,2708.31201171875,10.4967203140258,3064.22280628773,45.8327293395996,2708.31201171875
2018-05-26 18:00:00,3124.35498046875,11.2609395980834,3356.99655389783,48.076789855957,3124.35498046875
2018-05-26 19:00:00,3535.22998046875,12.7849702835083,3594.33142166921,52.232700347900305,3535.22998046875
2018-05-26 20:00:00,2990.53491210937,10.9863500595092,3267.60132284933,37.44680023193351,2990.53491210937
2018-05-26 21:00:00,2443.10498046875,9.82400321960449,2677.72614696052,38.43156051635741,2443.10498046875
2018-05-26 22:00:00,1368.94104003906,7.78091096878051,1407.14132173934,35.7400703430175,1368.94104003906
2018-05-26 23:00:00,2733.0,9.85611343383789,2699.3426981106,26.2622203826904,2733.0
2018-05-27 00:00:00,2526.59008789062,10.1835603713989,2901.05382392683,24.8266696929931,2526.59008789062
2018-05-27 01:00:00,1476.33605957031,8.00836372375488,1534.78990300323,25.1926498413085,1476.33605957031
2018-05-27 02:00:00,1563.22204589843,8.45547580718994,1800.60958523216,10.9589195251464,1563.22204589843
2018-05-27 03:00:00,1460.80603027343,7.96223592758178,1508.44545226801,341.446990966796,1460.80603027343
2018-05-27 04:00:00,0.0,8.62781620025634,1907.37871185154,0.0,0.0
2018-05-27 05:00:00,3535.51489257812,13.7096395492553,3600.0,78.5245132446289,3535.51489257812
2018-05-27 06:00:00,2334.2041015625,10.0730304718017,2836.68069628614,69.9732437133789,2334.2041015625
2018-05-27 07:00:00,1488.72998046875,8.34864234924316,1735.51900276743,63.148509979248004,1488.72998046875
2018-05-27 08:00:00,1553.5439453125,8.51180934906005,1835.28096576961,72.4940109252929,1553.5439453125
2018-05-27 09:00:00,1278.43603515625,7.77495193481445,1403.87584992815,59.0574607849121,1278.43603515625
2018-05-27 10:00:00,799.882690429687,6.75160980224609,907.98580082897,51.8638000488281,799.882690429687
2018-05-27 11:00:00,1108.86206054687,7.31143283843994,1162.58378253728,34.3048782348632,1108.86206054687
2018-05-27 12:00:00,1691.18395996093,8.6130895614624,1898.17649549509,25.376220703125,1691.18395996093
2018-05-27 13:00:00,566.411193847656,5.58965110778808,495.163206512394,16.4097003936767,566.411193847656
2018-05-27 14:00:00,2591.04809570312,9.74622344970703,2623.94227209264,24.4079494476318,2591.04809570312
2018-05-27 15:00:00,2015.29602050781,9.21627330780029,2284.24167761152,31.5107803344726,2015.29602050781
2018-05-27 16:00:00,2620.93408203125,10.3864698410034,3009.91165662407,46.465389251708906,2620.93408203125
2018-05-27 17:00:00,1982.623046875,9.15852737426757,2246.64759687098,47.6742210388183,1982.623046875
2018-05-27 18:00:00,565.040222167968,6.23596096038818,706.52662596729,62.774810791015604,565.040222167968
2018-05-27 19:00:00,297.342895507812,5.10158491134643,361.353380373502,42.1493797302246,297.342895507812
2018-05-27 20:00:00,1035.04296875,7.17936086654663,1098.8177138995,44.7457389831542,1035.04296875
2018-05-27 21:00:00,1287.2939453125,7.6963357925415,1361.1940274239,36.8359107971191,1287.2939453125
2018-05-27 22:00:00,1122.5,7.30973005294799,1161.74606327516,42.5251884460449,1122.5
2018-05-27 23:00:00,1959.30200195312,9.03560733795166,2166.97046820445,44.0935592651367,1959.30200195312
2018-05-28 00:00:00,2458.4951171875,10.2144498825073,2918.39240756482,49.7059097290039,2458.4951171875
2018-05-28 01:00:00,2356.0419921875,9.88390159606933,2717.77656264638,42.7656288146972,2356.0419921875
2018-05-28 02:00:00,1441.39501953125,8.0176773071289,1540.13598077417,37.8008193969726,1441.39501953125
2018-05-28 03:00:00,1503.9150390625,8.30556869506835,1709.53479343072,40.5646591186523,1503.9150390625
2018-05-28 04:00:00,1149.61596679687,7.48898410797119,1252.26680825997,37.9912300109863,1149.61596679687
2018-05-28 05:00:00,1866.69897460937,8.7947998046875,2012.64052750938,28.512599945068303,1866.69897460937
2018-05-28 06:00:00,1398.96594238281,7.80675888061523,1421.35397674944,26.3274993896484,1398.96594238281
2018-05-28 07:00:00,2174.39794921875,9.34562683105468,2368.75222370794,33.444278717041,2174.39794921875
2018-05-28 08:00:00,1250.38598632812,7.61401987075805,1317.32165204006,30.293279647827102,1250.38598632812
2018-05-28 09:00:00,1224.39099121093,7.54918622970581,1283.3790546603,34.3094406127929,1224.39099121093
2018-05-28 10:00:00,1254.76599121093,7.83475017547607,1436.83283636891,22.5647296905517,1254.76599121093
2018-05-28 11:00:00,1822.65502929687,8.85672855377197,2052.07119908438,12.1271295547485,1822.65502929687
2018-05-28 12:00:00,2271.71801757812,9.52545928955078,2459.93108435308,26.4713592529296,2271.71801757812
2018-05-28 13:00:00,3285.98193359375,11.8507204055786,3496.80461706702,17.224159240722603,3285.98193359375
2018-05-28 14:00:00,3318.31298828125,11.96409034729,3516.25531967864,18.071870803833,3318.31298828125
2018-05-28 15:00:00,3031.72192382812,11.1796197891235,3332.24097740035,26.1161708831787,3031.72192382812
2018-05-28 16:00:00,2029.42602539062,9.05131912231445,2177.12561233665,30.815280914306605,2029.42602539062
2018-05-28 17:00:00,1177.58703613281,7.53453302383422,1275.78435276081,38.2196083068847,1177.58703613281
2018-05-28 18:00:00,1417.623046875,8.11093807220458,1594.15193754702,39.5499992370605,1417.623046875
2018-05-28 19:00:00,2487.4609375,10.2390298843383,2931.98956492007,44.5085296630859,2487.4609375
